Url,PathIdentifier,PropertyId,Price,Unit,Street,City,State,Postcode,SoldDate,Bed,Bath,Parking,Type
www.realestate.com.au/sold/property-unit-sa-richmond-146821316,/sold/property-unit-sa-richmond-146821316,146821316,506000,Feb-41,Shierlaw Street,Richmond,SA,5033,18-Dec-24,1,1,1,Unit
www.realestate.com.au/sold/property-house-sa-marleston-146534032,/sold/property-house-sa-marleston-146534032,146534032,1010000,11,Sarah Street,Marleston,SA,5033,17-Dec-24,3,1,1,House
www.realestate.com.au/sold/property-house-sa-richmond-146728060,/sold/property-house-sa-richmond-146728060,146728060,1090000,53,Craig Street,Richmond,SA,5033,14-Dec-24,3,2,2,House
www.realestate.com.au/sold/property-townhouse-sa-marleston-146690472,/sold/property-townhouse-sa-marleston-146690472,146690472,830000,6C,Aldridge Terrace,Marleston,SA,5033,10-Dec-24,3,2,2,Townhouse
www.realestate.com.au/sold/property-townhouse-sa-richmond-146659156,/sold/property-townhouse-sa-richmond-146659156,146659156,788000,29,Frederick Street,Richmond,SA,5033,3-Dec-24,3,2,3,Townhouse
www.realestate.com.au/sold/property-house-sa-richmond-146247428,/sold/property-house-sa-richmond-146247428,146247428,955000,12,Sanders Street,Richmond,SA,5033,26-Nov-24,4,2,2,House
www.realestate.com.au/sold/property-house-sa-marleston-146220920,/sold/property-house-sa-marleston-146220920,146220920,910000,41B,Barwell Avenue,Marleston,SA,5033,26-Nov-24,3,2,2,House
www.realestate.com.au/sold/property-house-sa-hilton-146556152,/sold/property-house-sa-hilton-146556152,146556152,1125000,41,Davenport Terrace,Hilton,SA,5033,24-Nov-24,3,1,4,House
www.realestate.com.au/sold/property-house-sa-hilton-146550912,/sold/property-house-sa-hilton-146550912,146550912,825000,11,Mallen Street,Hilton,SA,5033,23-Nov-24,3,2,3,House
www.realestate.com.au/sold/property-house-sa-marleston-146399828,/sold/property-house-sa-marleston-146399828,146399828,865000,10,St Anton Street,Marleston,SA,5033,19-Nov-24,3,2,1,House
www.realestate.com.au/sold/property-house-sa-richmond-146405924,/sold/property-house-sa-richmond-146405924,146405924,931500,75,Lane Street,Richmond,SA,5033,11-Nov-24,3,2,2,House
www.realestate.com.au/sold/property-house-sa-richmond-146126292,/sold/property-house-sa-richmond-146126292,146126292,875000,76A,Lane Street,Richmond,SA,5033,7-Nov-24,3,2,2,House
www.realestate.com.au/sold/property-unit-sa-richmond-146329960,/sold/property-unit-sa-richmond-146329960,146329960,488000,Jun-70,Davenport Terrace,Richmond,SA,5033,28-Oct-24,1,1,1,Unit
www.realestate.com.au/sold/property-house-sa-marleston-146245044,/sold/property-house-sa-marleston-146245044,146245044,870000,22,Cudmore Terrace,Marleston,SA,5033,24-Oct-24,4,2,2,House
www.realestate.com.au/sold/property-unit-sa-richmond-146237528,/sold/property-unit-sa-richmond-146237528,146237528,550000,Jun-66,Milner Rd,Richmond,SA,5033,22-Oct-24,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-richmond-146230560,/sold/property-house-sa-richmond-146230560,146230560,1187500,11,Redin Street,Richmond,SA,5033,18-Oct-24,5,2,2,House
www.realestate.com.au/sold/property-house-sa-richmond-146194868,/sold/property-house-sa-richmond-146194868,146194868,985000,10,Apollo Circuit,Richmond,SA,5033,15-Oct-24,3,2,3,House
www.realestate.com.au/sold/property-residential+land-sa-marleston-204002792,/sold/property-residential+land-sa-marleston-204002792,204002792,1213000,14-16,Sarah Street,Marleston,SA,5033,11-Oct-24,0,0,0,Residential land
www.realestate.com.au/sold/property-house-sa-richmond-146052624,/sold/property-house-sa-richmond-146052624,146052624,1190000,34a,Bickford Street,Richmond,SA,5033,5-Oct-24,5,4,4,House
www.realestate.com.au/sold/property-house-sa-hilton-145978048,/sold/property-house-sa-hilton-145978048,145978048,795250,24,Washington Street,Hilton,SA,5033,30-Sep-24,3,1,2,House
www.realestate.com.au/sold/property-house-sa-richmond-146024276,/sold/property-house-sa-richmond-146024276,146024276,917500,44,Craig Street,Richmond,SA,5033,28-Sep-24,3,1,3,House
www.realestate.com.au/sold/property-unit-sa-marleston-146018984,/sold/property-unit-sa-marleston-146018984,146018984,633000,4/31-33,Sutton Terrace,Marleston,SA,5033,26-Sep-24,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-hilton-145947404,/sold/property-house-sa-hilton-145947404,145947404,1015000,38,Milner Road,Hilton,SA,5033,21-Sep-24,2,1,3,House
www.realestate.com.au/sold/property-house-sa-cowandilla-145395792,/sold/property-house-sa-cowandilla-145395792,145395792,940000,1,Thomas Street,Cowandilla,SA,5033,10-Sep-24,3,1,3,House
www.realestate.com.au/sold/property-unit-sa-richmond-145834632,/sold/property-unit-sa-richmond-145834632,145834632,495000,1/1a,Elms Avenue,Richmond,SA,5033,10-Sep-24,2,1,1,Unit
www.realestate.com.au/sold/property-unit-sa-marleston-145353144,/sold/property-unit-sa-marleston-145353144,145353144,485000,5-Jan,Lucknow Street,Marleston,SA,5033,16-Aug-24,2,1,1,Unit
www.realestate.com.au/sold/property-unit-sa-richmond-145701788,/sold/property-unit-sa-richmond-145701788,145701788,420000,May-79,Brooker Terrace,Richmond,SA,5033,15-Aug-24,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-west+richmond-145244168,/sold/property-house-sa-west+richmond-145244168,145244168,780500,21,Norwich Street,West Richmond,SA,5033,31-Jul-24,3,1,2,House
www.realestate.com.au/sold/property-house-sa-cowandilla-145446380,/sold/property-house-sa-cowandilla-145446380,145446380,1100000,23,Francis Street,Cowandilla,SA,5033,27-Jul-24,3,1,2,House
www.realestate.com.au/sold/property-house-sa-richmond-145423312,/sold/property-house-sa-richmond-145423312,145423312,1260600,3,Lucas Street,Richmond,SA,5033,21-Jul-24,4,2,4,House
www.realestate.com.au/sold/property-unit-sa-richmond-145428504,/sold/property-unit-sa-richmond-145428504,145428504,390000,Apr-61,Milner Road,Richmond,SA,5033,19-Jul-24,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-richmond-145194236,/sold/property-house-sa-richmond-145194236,145194236,970000,59,Bickford Street,Richmond,SA,5033,11-Jul-24,4,2,2,House
www.realestate.com.au/sold/property-unit-sa-marleston-145281156,/sold/property-unit-sa-marleston-145281156,145281156,510000,Jan-58,Sutton Terrace,Marleston,SA,5033,10-Jul-24,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-cowandilla-145185108,/sold/property-house-sa-cowandilla-145185108,145185108,1400000,272,Sir Donald Bradman Drive,Cowandilla,SA,5033,4-Jul-24,4,2,6,House
www.realestate.com.au/sold/property-house-sa-cowandilla-145241508,/sold/property-house-sa-cowandilla-145241508,145241508,900000,103,Marion Road,Cowandilla,SA,5033,29-Jun-24,3,1,3,House
www.realestate.com.au/sold/property-house-sa-hilton-145173172,/sold/property-house-sa-hilton-145173172,145173172,1071000,35,Davenport Terrace,Hilton,SA,5033,23-Jun-24,3,2,4,House
www.realestate.com.au/sold/property-house-sa-marleston-144998216,/sold/property-house-sa-marleston-144998216,144998216,880000,8,Cudmore Terrace,Marleston,SA,5033,15-Jun-24,4,2,2,House
www.realestate.com.au/sold/property-house-sa-marleston-144991828,/sold/property-house-sa-marleston-144991828,144991828,1000000,50,Sutton Terrace,Marleston,SA,5033,30-May-24,5,2,2,House
www.realestate.com.au/sold/property-unit-sa-marleston-144830752,/sold/property-unit-sa-marleston-144830752,144830752,590000,Apr-31,Aldridge Terrace,Marleston,SA,5033,22-May-24,3,1,1,Unit
www.realestate.com.au/sold/property-house-sa-cowandilla-144847648,/sold/property-house-sa-cowandilla-144847648,144847648,1230000,3,Wilson Street,Cowandilla,SA,5033,11-May-24,4,2,5,House
www.realestate.com.au/sold/property-house-sa-west+richmond-144824912,/sold/property-house-sa-west+richmond-144824912,144824912,790000,24,Britton Street,West Richmond,SA,5033,11-May-24,3,2,2,House
www.realestate.com.au/sold/property-house-sa-marleston-144116384,/sold/property-house-sa-marleston-144116384,144116384,775000,27,Sarah Street,Marleston,SA,5033,10-May-24,3,2,1,House
www.realestate.com.au/sold/property-unit-sa-marleston-144830168,/sold/property-unit-sa-marleston-144830168,144830168,585000,26-Feb,Cudmore Terrace,Marleston,SA,5033,9-May-24,3,1,2,Unit
www.realestate.com.au/sold/property-house-sa-marleston-144812876,/sold/property-house-sa-marleston-144812876,144812876,847500,9A,Sutton Terrace,Marleston,SA,5033,8-May-24,3,2,2,House
www.realestate.com.au/sold/property-house-sa-richmond-144715600,/sold/property-house-sa-richmond-144715600,144715600,1645000,36,Brooker Terrace,Richmond,SA,5033,4-May-24,4,3,1,House
www.realestate.com.au/sold/property-house-sa-richmond-143910340,/sold/property-house-sa-richmond-143910340,143910340,835000,70,Milner Road,Richmond,SA,5033,2-May-24,3,1,3,House
www.realestate.com.au/sold/property-house-sa-richmond-144738012,/sold/property-house-sa-richmond-144738012,144738012,740000,18,Lane Street,Richmond,SA,5033,24-Apr-24,2,1,2,House
www.realestate.com.au/sold/property-house-sa-richmond-144478952,/sold/property-house-sa-richmond-144478952,144478952,750000,76A,Shierlaw Street,Richmond,SA,5033,19-Apr-24,3,2,1,House
www.realestate.com.au/sold/property-house-sa-richmond-144318256,/sold/property-house-sa-richmond-144318256,144318256,1420000,14,Shaw Avenue,Richmond,SA,5033,17-Apr-24,6,4,4,House
www.realestate.com.au/sold/property-house-sa-richmond-144640400,/sold/property-house-sa-richmond-144640400,144640400,950000,1B,Lucas Street,Richmond,SA,5033,15-Apr-24,4,2,1,House
www.realestate.com.au/sold/property-house-sa-marleston-144560668,/sold/property-house-sa-marleston-144560668,144560668,985000,25,Cudmore Terrace,Marleston,SA,5033,13-Apr-24,3,2,2,House
www.realestate.com.au/sold/property-house-sa-hilton-143639544,/sold/property-house-sa-hilton-143639544,143639544,820000,15,15A & 15B Verran Avenue,Hilton,SA,5033,10-Apr-24,3,2,1,House
www.realestate.com.au/sold/property-house-sa-richmond-144510164,/sold/property-house-sa-richmond-144510164,144510164,747000,32,Shierlaw Street,Richmond,SA,5033,10-Apr-24,2,1,1,House
www.realestate.com.au/sold/property-house-sa-marleston-144115576,/sold/property-house-sa-marleston-144115576,144115576,935000,55,Argyle Avenue,Marleston,SA,5033,7-Apr-24,3,2,3,House
www.realestate.com.au/sold/property-house-sa-marleston-144361632,/sold/property-house-sa-marleston-144361632,144361632,515000,Mar-40,Barnes Avenue,Marleston,SA,5033,25-Mar-24,2,1,2,House
www.realestate.com.au/sold/property-house-sa-richmond-144443508,/sold/property-house-sa-richmond-144443508,144443508,802000,48,Lane Street,Richmond,SA,5033,23-Mar-24,3,1,4,House
